address,price,price_per_sqm,rooms,floor,sqm,date,lot_sqm,housing_type,monthly_fee,build_year,starting_price,page
Nobelvägen 85C,1460000,29500,2,4,49,2025-06-23,,Lägenhet,2680,1938,1595000,6
Folketshusvägen 15,3500000,32100,5,1,109,2025-06-23,,Lägenhet,8183,2021,3695000,6
Simrishamnsgatan 7A,2495000,39000,3,3,64,2025-06-23,,Lägenhet,5995,1935,2295000,6
Kapellgatan 8,4750000,48500,3,2,98,2025-06-23,,Lägenhet,5326,1907,4495000,6
Sundholmsgatan 26,2600000,40000,2,2,65,2025-06-23,,Lägenhet,5313,1992,2650000,6
Fylkinggatan 27B,2100000,24400,4,2,86,2025-06-23,,Lägenhet,4959,1960,2195000,6
Berguvsgatan 3C,1400000,21200,3,1,66,2025-06-23,,Lägenhet,3954,1962,1495000,6
Sallerupsvägen 220,1395000,25800,2,3,54,2025-06-23,,Lägenhet,5333,2019,1395000,6
Carlsgatan 31,5450000,55600,4,9,98,2025-06-22,,Lägenhet,6588,2024,5450000,6
Annebergsgatan 19B,3750000,34600,4,5,108,2025-06-22,,Lägenhet,7515,1964,3950000,6
Kulladalsgatan 8E,1500000,17900,3,3,84,2025-06-22,,Lägenhet,5668,1965,1695000,6
Kungsörnsgatan 38,1850000,20800,3,2,89,2025-06-22,,Lägenhet,6288,1968,1895000,6
Barlastgatan 55,7400000,66100,4,6,112,2025-06-22,,Lägenhet,6860,2011,7495000,6
Kilian Zollsgatan 15B,1500000,46900,1,1,32,2025-06-22,,Lägenhet,3940,1954,1595000,6
Kronetorpsgatan 68A,1135000,16400,3,4,69,2025-06-20,,Lägenhet,4868,1961,1150000,7
Lilla Varvsgatan 21E,2300000,46900,2,2,49,2025-06-20,,Lägenhet,4137,2019,2395000,7
Serenadgatan 52,1550000,15600,4,2,99,2025-06-20,,Lägenhet,5775,1971,1695000,7
Annebergsgatan 5C,3100000,29500,4,4,105,2025-06-19,,Lägenhet,6854,1964,2995000,7
Dockgatan 31,6400000,73600,3,6,87,2025-06-19,,Lägenhet,4609,2019,6500000,7
